tenure,MonthlyCharges,TotalCharges,Contract,InternetService
72,74.35,5237.4,Two year,DSL
72,64.8,4719.75,Two year,DSL
1,55.45,55.45,Month-to-month,DSL
48,78.9,3771.5,Two year,DSL
63,74.5,4674.55,Two year,DSL
72,24.1,1734.65,Two year,No
59,54.15,3116.15,Two year,DSL
29,35.6,1072.6,One year,DSL
57,59.3,3274.35,One year,DSL
30,110.45,3327.05,One year,Fiber optic
38,69.95,2657.55,Month-to-month,DSL
15,20.45,330.8,Month-to-month,No
71,99.65,6951.15,Month-to-month,Fiber optic
7,94.25,669,Month-to-month,Fiber optic
27,19.6,561.15,Two year,No
40,19.1,780.1,Two year,No
1,86.0,86,Month-to-month,Fiber optic
65,91.85,5940.85,Month-to-month,Fiber optic
1,81.1,81.1,Month-to-month,Fiber optic
1,44.1,44.1,Month-to-month,DSL
3,19.9,45.75,Month-to-month,No
29,99.05,2952.85,Month-to-month,Fiber optic
15,19.8,304.6,One year,No
70,79.7,5743.3,Two year,DSL
26,93.85,2381.55,Month-to-month,Fiber optic
35,96.75,3403.4,Month-to-month,Fiber optic
68,72.95,4953.25,Two year,DSL
1,74.9,74.9,Month-to-month,Fiber optic
1,20.25,20.25,Month-to-month,No
69,79.2,5420.65,Two year,Fiber optic
4,20.05,83.3,Month-to-month,No
31,72.45,2156.25,Month-to-month,DSL
58,108.85,6287.25,One year,Fiber optic
65,91.55,5963.95,Two year,DSL
51,69.75,3562.5,One year,DSL
1,19.1,19.1,Month-to-month,No
15,101.1,1504.05,Month-to-month,Fiber optic
52,50.95,2610.65,One year,DSL
1,25.15,25.15,Month-to-month,DSL
3,19.95,58.3,Month-to-month,No
13,54.8,731.3,Month-to-month,DSL
1,70.05,70.05,Month-to-month,Fiber optic
5,84.85,415.55,Month-to-month,Fiber optic
25,76.15,1992.95,Month-to-month,DSL
69,110.5,7455.45,Two year,Fiber optic
4,65.55,237.2,Month-to-month,DSL
3,20.4,63.15,Month-to-month,No
5,24.3,100.2,Month-to-month,DSL
4,80.1,336.15,Month-to-month,Fiber optic
16,78.75,1218.25,Month-to-month,Fiber optic
50,70.8,3478.15,One year,DSL
16,55.85,857.8,One year,DSL
49,95.4,4613.95,Month-to-month,Fiber optic
23,54.15,1312.45,Month-to-month,DSL
47,100.5,4707.1,Month-to-month,Fiber optic
22,48.8,1054.6,Month-to-month,DSL
64,113.35,7222.75,One year,Fiber optic
20,49.6,939.8,Month-to-month,DSL
51,84.2,4299.75,One year,Fiber optic
14,71.0,914,Month-to-month,Fiber optic
51,56.4,2928.5,One year,DSL
40,50.15,2058.5,Month-to-month,DSL
4,97.95,384.5,Month-to-month,Fiber optic
2,49.25,90.35,Month-to-month,DSL
55,77.75,4266.4,Month-to-month,Fiber optic
62,60.15,3753.2,Two year,DSL
2,54.45,87.3,Month-to-month,DSL
1,55.05,55.05,Month-to-month,DSL
11,89.7,1047.7,Month-to-month,Fiber optic
5,82.75,417.75,Month-to-month,Fiber optic
14,69.65,921.4,Month-to-month,DSL
70,98.7,6858.9,Two year,Fiber optic
71,25.0,1753,Two year,No
49,43.8,2106.05,Month-to-month,DSL
24,20.1,533.9,One year,No
41,65.0,2531.8,One year,DSL
13,29.15,357.15,Month-to-month,DSL
1,45.15,45.15,Month-to-month,DSL
54,72.1,3886.05,One year,DSL
7,69.95,529.5,Month-to-month,Fiber optic
72,72.1,5016.65,Two year,DSL
28,106.15,3152.5,Month-to-month,Fiber optic
5,50.95,229.4,Month-to-month,DSL
10,86.05,834.1,Month-to-month,Fiber optic
71,86.7,6179.35,One year,Fiber optic
68,38.9,2719.2,Two year,DSL
2,45.55,84.4,Month-to-month,DSL
54,115.6,6431.05,One year,Fiber optic
15,59.65,867.1,Month-to-month,DSL
3,29.2,98.5,Month-to-month,DSL
65,92.7,5968.4,Two year,Fiber optic
15,20.35,335.95,One year,No
30,94.4,2638.1,One year,Fiber optic
70,26.05,1856.4,One year,No
20,19.7,406.95,Two year,No
4,24.45,86.6,Month-to-month,DSL
63,80.3,4995.35,Two year,DSL
6,84.85,523.5,Month-to-month,Fiber optic
28,39.1,1096.6,One year,DSL
20,20.0,416.45,One year,No
3,64.4,195.65,Month-to-month,DSL
12,50.25,593.75,Month-to-month,DSL
5,40.0,223.45,Month-to-month,DSL
23,57.2,1423.35,One year,DSL
70,57.8,4039.3,Two year,DSL
65,72.45,4653.85,One year,DSL
72,83.3,6042.7,Two year,DSL
1,30.2,30.2,Month-to-month,DSL
34,40.55,1325.85,Two year,DSL
21,97.35,2119.5,Month-to-month,Fiber optic
19,89.35,1686.85,One year,Fiber optic
70,51.05,3635.15,One year,DSL
56,96.85,5219.65,Month-to-month,Fiber optic
1,55.7,55.7,Month-to-month,DSL
38,54.5,2076.05,Month-to-month,DSL
13,19.3,259.65,One year,No
46,101.0,4680.05,Month-to-month,Fiber optic
54,24.95,1364.75,Month-to-month,DSL
48,70.65,3545.05,Month-to-month,Fiber optic
68,89.05,6185.8,Two year,DSL
52,94.6,5025.8,Month-to-month,Fiber optic
71,24.75,1836.9,Two year,No
1,68.65,68.65,Month-to-month,Fiber optic
64,74.35,4759.55,Two year,DSL
46,44.95,2168.9,Month-to-month,DSL
11,90.15,987.95,Month-to-month,Fiber optic
53,61.1,3357.9,One year,DSL
2,20.05,39.25,Month-to-month,No
57,100.6,5746.15,Month-to-month,Fiber optic
43,55.45,2444.25,One year,DSL
44,20.05,845.25,Two year,No
71,66.8,4689.15,One year,DSL
30,44.5,1307.8,Month-to-month,DSL
20,20.65,417.5,One year,No
18,20.05,345.9,One year,No
34,71.55,2427.35,Month-to-month,Fiber optic
52,58.75,3038.55,Two year,DSL
66,108.1,7238.6,One year,Fiber optic
29,98.5,3004.15,Month-to-month,Fiber optic
41,79.9,3326.2,Month-to-month,DSL
69,75.75,5388.15,Two year,DSL
32,85.3,2661.1,Month-to-month,Fiber optic
9,70.05,657.5,Month-to-month,Fiber optic
2,29.85,75.6,Month-to-month,DSL
37,20.15,785.75,One year,No
39,47.85,1886.4,One year,DSL
8,86.55,649.65,Month-to-month,Fiber optic
5,20.55,99.45,One year,No
26,50.35,1277.5,Month-to-month,DSL
63,80.3,4896.35,Month-to-month,Fiber optic
58,100.4,5749.8,Month-to-month,Fiber optic
72,21.15,1419.4,Two year,No
64,70.2,4481,Two year,DSL
50,25.2,1306.3,One year,No
8,58.2,469.25,One year,DSL
1,78.65,78.65,Month-to-month,Fiber optic
6,70.55,433.95,Month-to-month,Fiber optic
65,82.5,5215.1,Two year,DSL
13,54.15,701.05,One year,DSL
47,109.55,5124.55,Month-to-month,Fiber optic
4,54.3,195.3,Month-to-month,DSL
51,24.95,1288,Two year,No
34,44.85,1442.6,Month-to-month,DSL
37,90.0,3371.75,Month-to-month,Fiber optic
8,90.25,743.75,Month-to-month,Fiber optic
39,99.95,3767.4,Month-to-month,Fiber optic
2,54.15,101.65,Month-to-month,DSL
2,20.35,41.85,Month-to-month,No
43,66.25,2907.35,Month-to-month,DSL
1,99.75,99.75,Month-to-month,Fiber optic
45,99.7,4634.35,Two year,Fiber optic
1,70.85,70.85,Month-to-month,Fiber optic
1,50.75,50.75,Month-to-month,DSL
30,85.45,2509.95,Month-to-month,Fiber optic
70,44.05,3011.65,One year,DSL
64,104.65,6889.8,One year,Fiber optic
18,25.1,428.45,Two year,No
37,19.8,726.1,Two year,No
72,65.5,4919.7,Two year,DSL
45,50.9,2333.85,Month-to-month,DSL
56,81.25,4620.4,Two year,DSL
31,84.85,2633.4,Month-to-month,Fiber optic
62,19.95,1244.8,One year,No
69,29.8,2134.3,One year,DSL
4,20.4,84.75,One year,No
66,19.95,1269.1,Two year,No
70,69.2,4872.35,Two year,DSL
72,105.75,7629.85,One year,Fiber optic
56,52.7,3019.7,One year,DSL
12,95.5,1115.15,One year,Fiber optic
1,70.75,70.75,Month-to-month,Fiber optic
41,114.5,4527.45,Month-to-month,Fiber optic
1,59.55,59.55,Month-to-month,DSL
13,19.65,244.8,One year,No
26,83.75,2070.6,Month-to-month,Fiber optic
16,79.5,1264.2,One year,Fiber optic
3,54.65,189.1,Month-to-month,DSL
58,70.1,4048.95,Two year,DSL
72,89.1,6352.4,Two year,DSL
56,21.2,1238.65,One year,No
1,69.65,69.65,Month-to-month,Fiber optic
33,53.75,1857.3,One year,DSL
13,93.8,1261,Month-to-month,Fiber optic
57,86.9,4939.25,One year,Fiber optic
18,74.8,1438.05,Month-to-month,Fiber optic
42,101.75,4273.45,Month-to-month,Fiber optic
32,72.8,2333.05,One year,DSL
34,20.8,635.9,Month-to-month,No
64,105.25,6823.4,Two year,Fiber optic
11,76.5,837.95,Month-to-month,Fiber optic
49,100.85,4847.35,Month-to-month,Fiber optic
23,83.8,1900.25,Month-to-month,Fiber optic
56,68.75,3808,One year,DSL
25,19.05,461.3,Month-to-month,No
8,43.35,371.4,Month-to-month,DSL
34,62.65,2274.9,Month-to-month,DSL
6,26.35,184.05,Month-to-month,No
23,104.05,2470.1,Month-to-month,Fiber optic
31,35.4,1077.5,Month-to-month,DSL
12,35.5,432.25,Month-to-month,DSL
4,80.15,319.85,Month-to-month,Fiber optic
63,100.55,6215.35,Month-to-month,Fiber optic
2,19.65,38.8,Month-to-month,No
71,20.5,1500.95,Two year,No
37,88.8,3340.55,Month-to-month,Fiber optic
1,45.15,45.15,Month-to-month,DSL
2,70.1,141.65,Month-to-month,Fiber optic
7,81.1,576.65,Month-to-month,Fiber optic
69,74.1,5031,Two year,DSL
19,78.25,1490.95,Month-to-month,Fiber optic
19,106.6,1934.45,Month-to-month,Fiber optic
72,87.1,6230.1,Two year,DSL
29,98.6,2933.2,Month-to-month,Fiber optic
3,45.0,127.1,Month-to-month,DSL
11,51.0,581.7,Month-to-month,DSL
33,59.45,1884.65,Month-to-month,DSL
72,97.7,6869.7,Two year,Fiber optic
5,20.05,94.15,Month-to-month,No
58,45.3,2651.2,Month-to-month,DSL
71,104.15,7365.3,Two year,Fiber optic
9,45.4,418.8,Month-to-month,DSL
1,50.1,50.1,Month-to-month,DSL
2,54.35,117.05,Month-to-month,DSL
37,20.35,697.65,Month-to-month,No
6,55.3,324.25,Month-to-month,DSL
24,66.3,1559.45,Month-to-month,DSL
54,87.1,4735.2,Two year,DSL
23,19.8,465.45,One year,No
18,78.55,1422.65,Month-to-month,Fiber optic
72,64.7,4746.05,Two year,DSL
53,84.6,4449.75,One year,DSL
24,78.6,1846.65,Two year,DSL
56,85.65,4824.45,Two year,DSL
23,99.85,2331.3,Month-to-month,Fiber optic
71,25.45,1813.35,Two year,No
1,45.3,45.3,Month-to-month,DSL
22,74.4,1692.6,Month-to-month,Fiber optic
57,20.55,1252.85,Two year,No
69,60.25,4055.5,Two year,DSL
57,104.5,5921.35,Month-to-month,Fiber optic
47,65.0,2879.9,Two year,DSL
15,20.0,288.05,Month-to-month,No
29,31.2,926.2,Month-to-month,DSL
26,26.0,684.05,One year,No
31,20.45,638.55,Two year,No
11,78.5,874.2,Month-to-month,Fiber optic
42,78.45,3373.4,Two year,DSL
67,54.2,3623.95,Two year,DSL
33,100.6,3270.25,Month-to-month,Fiber optic
8,19.8,160.05,One year,No
4,95.45,396.1,Month-to-month,Fiber optic
66,56.6,3789.2,Two year,DSL
56,94.45,5124.6,Month-to-month,Fiber optic
5,81.0,371.65,Month-to-month,Fiber optic
11,80.5,896.9,Month-to-month,Fiber optic
6,44.4,263.05,Month-to-month,DSL
36,19.45,754.5,Two year,No
1,80.55,80.55,Month-to-month,Fiber optic
40,80.8,3132.75,One year,Fiber optic
70,95.0,6602.9,One year,Fiber optic
44,85.25,3704.15,One year,DSL
5,81.0,389.6,Month-to-month,Fiber optic
17,19.55,280.85,One year,No
72,24.8,1874.3,Two year,No
24,56.35,1381.2,Month-to-month,DSL
41,104.7,4346.4,Month-to-month,Fiber optic
54,65.65,3566.7,Two year,DSL
4,24.1,73.1,One year,No
13,30.15,382.2,Month-to-month,DSL
72,26.25,1988.05,Two year,No
13,19.85,252,Month-to-month,No
1,20.65,20.65,Month-to-month,No
63,90.05,5817,One year,Fiber optic
21,104.4,2200.25,Month-to-month,Fiber optic
72,110.9,7922.75,Two year,Fiber optic
48,20.15,982.95,Two year,No
70,20.15,1411.2,Two year,No
72,100.9,7459.05,Two year,Fiber optic
19,56.2,1093.4,Month-to-month,DSL
35,86.45,3029.1,Month-to-month,Fiber optic
68,91.7,6424.7,Two year,DSL
4,86.05,308.1,Month-to-month,Fiber optic
44,90.65,3974.15,One year,Fiber optic
60,50.8,3027.4,Month-to-month,DSL
27,20.6,581.85,Two year,No
35,72.1,2495.15,One year,DSL
70,101.75,7069.3,One year,Fiber optic
2,69.0,147.8,Month-to-month,DSL
2,74.75,144.8,Month-to-month,Fiber optic
72,115.15,8349.7,Two year,Fiber optic
71,91.05,6293.75,Two year,DSL
66,105.0,7133.25,Month-to-month,Fiber optic
52,108.1,5839.3,Month-to-month,Fiber optic
53,65.0,3363.8,Month-to-month,DSL
66,79.85,5234.95,Two year,DSL
23,54.4,1249.25,Month-to-month,DSL
3,79.25,267.6,Month-to-month,Fiber optic
23,79.15,1676.95,Month-to-month,Fiber optic
59,50.25,2997.45,Month-to-month,DSL
60,104.95,6236.75,Month-to-month,Fiber optic
66,103.1,6595,Month-to-month,Fiber optic
15,65.6,1010,One year,DSL
60,89.9,5450.7,Month-to-month,Fiber optic
46,104.4,4904.2,Two year,Fiber optic
45,89.3,4016.85,Month-to-month,Fiber optic
44,54.05,2375.2,Two year,DSL
46,99.8,4391.25,Month-to-month,Fiber optic
13,24.5,343.6,One year,No
69,114.35,7665.8,Two year,Fiber optic
1,74.4,74.4,Month-to-month,Fiber optic
7,95.35,660.9,Month-to-month,Fiber optic
71,58.25,4145.9,Two year,DSL
27,19.55,520.55,Two year,No
64,74.65,4869.35,Month-to-month,DSL
69,81.5,5553.25,Two year,DSL
1,20.2,20.2,Month-to-month,No
33,73.9,2405.05,One year,DSL
1,34.7,34.7,Month-to-month,DSL
20,107.05,2172.05,Month-to-month,Fiber optic
12,112.95,1384.75,Month-to-month,Fiber optic
10,73.55,693.3,One year,DSL
44,109.8,4860.35,One year,Fiber optic
13,31.65,389.95,Month-to-month,DSL
56,19.95,1126.75,One year,No
2,95.85,197.7,Month-to-month,Fiber optic
17,94.2,1608.15,Month-to-month,Fiber optic
22,54.45,1127.35,Month-to-month,DSL
51,111.5,5703.25,One year,Fiber optic
6,55.7,335.65,Month-to-month,DSL
1,95.6,95.6,Month-to-month,Fiber optic
9,79.55,718.55,Month-to-month,Fiber optic
29,101.45,2948.6,Month-to-month,Fiber optic
1,45.6,45.6,Month-to-month,DSL
49,61.75,3024.15,Month-to-month,DSL
8,44.65,369.15,Month-to-month,DSL
9,79.55,723.4,Month-to-month,Fiber optic
41,86.2,3339.05,One year,Fiber optic
6,50.8,288.05,Month-to-month,DSL
33,103.7,3467,One year,Fiber optic
39,19.75,757.95,Two year,No
1,50.55,50.55,Month-to-month,DSL
13,73.35,931.55,Month-to-month,DSL
22,96.7,2082.95,Month-to-month,Fiber optic
55,100.15,5409.75,One year,Fiber optic
3,80.5,232.35,Month-to-month,Fiber optic
51,47.85,2356.75,One year,DSL
52,53.75,2790.65,One year,DSL
30,40.35,1187.05,One year,DSL
40,25.25,1006.9,Two year,No
14,85.15,1139.2,Month-to-month,Fiber optic
41,45.2,1841.9,Month-to-month,DSL
43,40.45,1912.85,Month-to-month,DSL
72,85.15,6316.2,Two year,DSL
28,50.8,1386.8,One year,DSL
68,84.4,5746.75,Two year,Fiber optic
62,110.8,6840.95,One year,Fiber optic
1,44.4,44.4,Month-to-month,DSL
62,96.75,6125.4,One year,Fiber optic
39,24.2,914.6,One year,No
1,70.7,70.7,Month-to-month,Fiber optic
2,76.4,160.8,Month-to-month,DSL
71,93.7,6585.35,Two year,Fiber optic
3,50.65,151.3,Month-to-month,DSL
50,82.5,4179.1,One year,DSL
21,80.9,1714.95,One year,DSL
8,65.45,554.45,Month-to-month,DSL
17,85.45,1451.6,Month-to-month,Fiber optic
45,24.7,1174.35,One year,No
4,50.9,225.6,Month-to-month,DSL
67,50.95,3521.7,Two year,DSL
3,34.25,139.35,Month-to-month,DSL
61,94.35,5703,Two year,Fiber optic
64,81.25,5567.55,One year,DSL
22,19.6,422.5,One year,No
4,55.9,238.5,Month-to-month,DSL
52,80.85,4079.55,One year,DSL
49,101.55,5070.4,Month-to-month,Fiber optic
53,108.95,5718.2,One year,Fiber optic
17,19.9,329.75,One year,No
65,70.95,4555.2,One year,Fiber optic
34,105.1,3634.8,Month-to-month,Fiber optic
3,94.6,279.55,Month-to-month,Fiber optic
9,19.85,178.8,Month-to-month,No
70,45.25,3264.45,One year,DSL
72,115.8,8476.5,Two year,Fiber optic
40,60.3,2448.5,One year,DSL
58,71.1,4299.2,One year,DSL
3,29.7,91.7,Month-to-month,DSL
1,50.75,50.75,Month-to-month,DSL
48,26.3,1245.05,Two year,No
25,99.3,2513.5,Two year,Fiber optic
49,107.95,5293.2,Two year,Fiber optic
9,74.25,639.65,Month-to-month,Fiber optic
